epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2339.52,1.57555,1.58599,1.33649,0.53934,0.47133,0.42853,0.22588,2.53458,2.24235,2.08862,0.00332918,0.00332918,0.00332918
2,4697.51,1.31815,0.99838,1.17317,0.57902,0.52962,0.4668,0.23677,2.44403,2.13547,1.98646,0.00653059,0.00653059,0.00653059
3,7039.97,1.27084,0.91729,1.12971,0.53123,0.42533,0.45453,0.24311,2.37121,2.71505,1.87322,0.00960001,0.00960001,0.00960001
4,9393.59,1.22192,0.83632,1.10024,0.45961,0.39494,0.3893,0.20788,2.58,2.75201,2.02552,0.009406,0.009406,0.009406
5,11709.9,1.13934,0.73701,1.0623,0.37824,0.38255,0.36996,0.18935,2.69881,2.54734,2.22261,0.009208,0.009208,0.009208
6,14073.8,1.07487,0.67129,1.03626,0.4315,0.38019,0.39686,0.19347,2.87209,2.33631,2.29221,0.00901,0.00901,0.00901
7,16436.3,1.02305,0.62479,1.01606,0.4069,0.31332,0.3593,0.18929,3.0336,3.02963,2.34474,0.008812,0.008812,0.008812
8,18759,0.98066,0.58853,0.99961,0.54734,0.34383,0.36742,0.18977,2.56576,2.61205,1.96194,0.008614,0.008614,0.008614
9,21130.3,0.94701,0.56254,0.98916,0.53771,0.32538,0.3805,0.19667,2.86486,3.04895,2.35524,0.008416,0.008416,0.008416
10,23466.5,0.91717,0.53793,0.97811,0.41649,0.39438,0.355,0.18164,2.70452,2.87531,2.2003,0.008218,0.008218,0.008218
11,31708.6,0.89161,0.52009,0.97034,0.52198,0.32622,0.38442,0.20863,2.77727,3.36694,2.22881,0.00802,0.00802,0.00802
12,34081.7,0.87308,0.50638,0.96353,0.49106,0.30503,0.33241,0.17869,2.86423,3.55914,2.34246,0.007822,0.007822,0.007822
13,36431.4,0.85587,0.49472,0.95822,0.68047,0.32284,0.36272,0.17839,2.59885,3.33099,2.08764,0.007624,0.007624,0.007624
14,38742.3,0.84106,0.48303,0.95226,0.4352,0.34322,0.37094,0.17705,2.71136,3.02617,2.20923,0.007426,0.007426,0.007426
